MemoryType ; BlockSize ; ElementType ; BufferSize ; LaunchNum ; Timer; WriteTime; AverageWriteTime; WriteBandwidth; AbsError(write); RelError(write); ReadTime; AverageReadTime; ReadBandwidth; AbsError(read); RelError(read)
RAM;395264;int;395264;5;clock_gettime();0.000286553;0.000424756;930.568;0.000144807;34.0918;0.000276206;0.000281013;1406.57;1.66832e-05;5.93681
RAM;1048576;int;1048576;5;clock_gettime();0.000791553;0.00100266;1045.79;0.000360662;35.9705;0.000890135;0.000813238;1289.38;7.68972e-05;9.45568
RAM;6291456;int;6291456;5;clock_gettime();0.00558278;0.0102544;613.537;0.0079648;77.6719;0.00571731;0.00607835;1035.06;0.00159777;26.2862
RAM;7340032;int;7340032;5;clock_gettime();0.00700612;0.00882091;832.118;0.00412737;46.7908;0.00646948;0.00796768;921.226;0.00628223;78.8464
